num-generations,num-evaluations,time-elapsed,best-fitness,avg-fitness,num_features_mutation_strength,crossover-method,population-size,num-points,initialization,seed,population_size,crossover_method,num_points,generation_budget,time_spent
54,5500,98.59952759742737,94174,95269.87,0.25,ONE_POINT,100,100,RANDOM,55,100,ONE_POINT,100,500,2099.135098695755
55,5600,100.50910019874573,94174,94965.66,0.25,ONE_POINT,100,100,RANDOM,55,100,ONE_POINT,100,500,2099.135098695755
56,5700,102.39630579948425,94002,94602.69,0.25,ONE_POINT,100,100,RANDOM,55,100,ONE_POINT,100,500,2099.135098695755
57,5800,104.31736302375793,93624,94322.3,0.25,ONE_POINT,100,100,RANDOM,55,100,ONE_POINT,100,500,2099.135098695755
58,5900,106.23736190795898,93046,94079.21,0.25,ONE_POINT,100,100,RANDOM,55,100,ONE_POINT,100,500,2099.135098695755
59,6000,108.14536237716675,93046,93777.71,0.25,ONE_POINT,100,100,RANDOM,55,100,ONE_POINT,100,500,2099.135098695755
60,6100,110.2143611907959,92072,93411.96,0.25,ONE_POINT,100,100,RANDOM,55,100,ONE_POINT,100,500,2099.135098695755
61,6200,112.11523365974426,92002,92994.95,0.25,ONE_POINT,100,100,RANDOM,55,100,ONE_POINT,100,500,2099.135098695755
62,6300,114.04766702651978,91739,92545.11,0.25,ONE_POINT,100,100,RANDOM,55,100,ONE_POINT,100,500,2099.135098695755
63,6400,115.97063899040222,91644,92115.37,0.25,ONE_POINT,100,100,RANDOM,55,100,ONE_POINT,100,500,2099.135098695755
64,6500,117.9036386013031,91644,91857.15,0.25,ONE_POINT,100,100,RANDOM,55,100,ONE_POINT,100,500,2099.135098695755
65,6600,119.8959367275238,91012,91672.55,0.25,ONE_POINT,100,100,RANDOM,55,100,ONE_POINT,100,500,2099.135098695755
66,6700,121.83578181266785,90776,91450.39,0.25,ONE_POINT,100,100,RANDOM,55,100,ONE_POINT,100,500,2099.135098695755
67,6800,123.74327349662781,90520,91159.14,0.25,ONE_POINT,100,100,RANDOM,55,100,ONE_POINT,100,500,2099.135098695755
68,6900,125.72770023345947,90120,90914.88,0.25,ONE_POINT,100,100,RANDOM,55,100,ONE_POINT,100,500,2099.135098695755
69,7000,127.71560573577881,89963,90686.68,0.25,ONE_POINT,100,100,RANDOM,55,100,ONE_POINT,100,500,2099.135098695755
70,7100,129.73964142799377,89963,90421.43,0.25,ONE_POINT,100,100,RANDOM,55,100,ONE_POINT,100,500,2099.135098695755
71,7200,131.6594979763031,89914,90223.39,0.25,ONE_POINT,100,100,RANDOM,55,100,ONE_POINT,100,500,2099.135098695755
72,7300,133.67742562294006,89474,90001.21,0.25,ONE_POINT,100,100,RANDOM,55,100,ONE_POINT,100,500,2099.135098695755
73,7400,135.62529850006104,89474,89855.16,0.25,ONE_POINT,100,100,RANDOM,55,100,ONE_POINT,100,500,2099.135098695755
74,7500,137.57104444503784,89172,89665.97,0.25,ONE_POINT,100,100,RANDOM,55,100,ONE_POINT,100,500,2099.135098695755
75,7600,139.66249895095825,88880,89454.24,0.25,ONE_POINT,100,100,RANDOM,55,100,ONE_POINT,100,500,2099.135098695755
76,7700,141.56027245521545,88710,89260.17,0.25,ONE_POINT,100,100,RANDOM,55,100,ONE_POINT,100,500,2099.135098695755
77,7800,143.60361552238464,88364,89052.08,0.25,ONE_POINT,100,100,RANDOM,55,100,ONE_POINT,100,500,2099.135098695755
78,7900,145.52765345573425,88274,88837.24,0.25,ONE_POINT,100,100,RANDOM,55,100,ONE_POINT,100,500,2099.135098695755
79,8000,147.48365139961243,88143,88675.39,0.25,ONE_POINT,100,100,RANDOM,55,100,ONE_POINT,100,500,2099.135098695755
80,8100,149.77983164787292,87948,88386.64,0.25,ONE_POINT,100,100,RANDOM,55,100,ONE_POINT,100,500,2099.135098695755
81,8200,151.7177448272705,87876,88151.15,0.25,ONE_POINT,100,100,RANDOM,55,100,ONE_POINT,100,500,2099.135098695755
82,8300,153.70569849014282,87460,87972.83,0.25,ONE_POINT,100,100,RANDOM,55,100,ONE_POINT,100,500,2099.135098695755
83,8400,155.82694792747498,87221,87753.66,0.25,ONE_POINT,100,100,RANDOM,55,100,ONE_POINT,100,500,2099.135098695755
84,8500,157.73758554458618,86527,87515.87,0.25,ONE_POINT,100,100,RANDOM,55,100,ONE_POINT,100,500,2099.135098695755
85,8600,159.69927620887756,86527,87238.93,0.25,ONE_POINT,100,100,RANDOM,55,100,ONE_POINT,100,500,2099.135098695755
86,8700,161.60566544532776,86339,86971.43,0.25,ONE_POINT,100,100,RANDOM,55,100,ONE_POINT,100,500,2099.135098695755
87,8800,163.57354521751404,85785,86660.8,0.25,ONE_POINT,100,100,RANDOM,55,100,ONE_POINT,100,500,2099.135098695755
88,8900,165.49328637123108,85407,86309.36,0.25,ONE_POINT,100,100,RANDOM,55,100,ONE_POINT,100,500,2099.135098695755
89,9000,167.4131956100464,85109,85973.96,0.25,ONE_POINT,100,100,RANDOM,55,100,ONE_POINT,100,500,2099.135098695755
90,9100,169.57809162139893,85109,85640.58,0.25,ONE_POINT,100,100,RANDOM,55,100,ONE_POINT,100,500,2099.135098695755
91,9200,171.59476828575134,85025,85363.87,0.25,ONE_POINT,100,100,RANDOM,55,100,ONE_POINT,100,500,2099.135098695755
